Meeting,Delegation,Number,Delegation_ISO,Delegation_wb,Host_ISO,Host_country,Host_wb,Origin,Dest,layover,emissions,emissions_sens_1,emissions_sens_2,emissions_sens_3
COP 1,Albania,2,ALB,Europe & Central Asia,DEU,Germany,Europe & Central Asia,TIA,SXF,VCE,0.6337962128236279,0.33313917231183504,0.5643998078751264,0.4025355772603365
COP 1,Algeria,8,DZA,Middle East & North Africa,DEU,Germany,Europe & Central Asia,ALG,SXF,NCE,0.8028157217524585,0.42198006181202613,0.7149128220529606,0.5098829615115242
COP 1,Antigua and Barbuda,3,ATG,Latin America & Caribbean,DEU,Germany,Europe & Central Asia,ANU,SXF,LGW,4.412007541711815,2.319157231035797,3.9288685815018676,2.8022961912457443
COP 1,Argentina,8,ARG,Latin America & Caribbean,DEU,Germany,Europe & Central Asia,EZE,SXF,MAD,7.008008830985562,3.6837367574482913,6.240593529054592,4.451152059379262
COP 1,Armenia,2,ARM,Europe & Central Asia,DEU,Germany,Europe & Central Asia,EVN,SXF,MSQ,1.724813554613434,0.9066425634028491,1.5359370353750659,1.0955190826412176
COP 1,Australia,29,AUS,East Asia & Pacific,DEU,Germany,Europe & Central Asia,SYD,SXF,HKG;SVO,9.466938846374692,4.976265220259598,8.430257257015027,6.012946809619261
COP 1,Austria,17,AUT,Europe & Central Asia,DEU,Germany,Europe & Central Asia,VIE,SXF,SZG,0.3254583064250426,0.171069041800384,0.28982281986082914,0.20670452836459738
COP 1,Bahamas,1,BHS,Latin America & Caribbean,DEU,Germany,Europe & Central Asia,NAS,SXF,LHR;AMS,4.661775716676448,2.450447049463238,4.151285775035692,2.9609369911039938
COP 1,Bahrain,5,BHR,Middle East & North Africa,DEU,Germany,Europe & Central Asia,BAH,SXF,BEY,2.5739755625324356,1.3530017757042279,2.292111158373862,1.6348661798628017
COP 1,Bangladesh,3,BGD,South Asia,DEU,Germany,Europe & Central Asia,DAC,SXF,FCO,4.990107139546875,2.6230333803630224,4.443663111075994,3.169477408833903
COP 1,Barbados,1,BRB,Latin America & Caribbean,DEU,Germany,Europe & Central Asia,BGI,SXF,LGW,4.52631030069366,2.3792400997784098,4.030654563120683,2.874895837351387
COP 1,Belize,1,BLZ,Latin America & Caribbean,DEU,Germany,Europe & Central Asia,BZE,SXF,MIA;AMS,5.443394521749788,2.861302399677822,4.847313045372634,3.4573838760549758
COP 1,Benin,5,BEN,Sub-Saharan Africa,DEU,Germany,Europe & Central Asia,COO,SXF,CDG;BRU,3.3101747697250485,1.7399824639061183,2.947692525250539,2.102464708380628
COP 1,Bolivia,3,BOL,Latin America & Caribbean,DEU,Germany,Europe & Central Asia,LPB,SXF,VVI;MAD,6.646029632566104,3.4934635841677864,5.918253032946634,4.221240183787256
